TEAM_ID,TEAM_ABBREVIATION
1610612739,CLE
1610612745,HOU
1610612756,PHX
0,TOT
1610612758,SAC
1610612743,DEN
1610612741,CHI
1610612754,IND
1610612750,MIN
1610612755,PHI
1610612747,LAL
1610612751,NJN
1610612757,POR
1610612755,SYR
1610612755,PHL
1610612738,BOS
1610612746,LAC
1610612740,NOH
1610612740,NOP
1610612742,DAL
1610612753,ORL
1610612749,MIL
1610612766,CHA
1610612761,TOR
1610612751,BKN
1610612764,WAS
1610612760,OKC
1610612765,DET
1610612752,NYK
1610612759,SAN
1610612762,UTH
1610612744,PHW
1610612744,SFW
1610612760,SEA
1610612763,MEM
1610612744,GSW
1610612762,UTA
1610612763,VAN
1610612758,CIN
1610612759,SAS
1610612748,MIA
1610612744,GOS
1610612766,CHH
1610610024,BAL
1610612737,STL
1610612737,ATL
1610612758,KCK
1610612746,SDC
1610610033,SHE
1610610032,PRO
1610610027,DN
1610612740,NOK
1610612745,SDR
1610610029,JET
1610612765,FTW
1610610023,AND
1610612737,MIH
1610610028,DEF
1610610030,INO
1610612746,BUF
1610610037,WAT
1610610036,WAS
1610612737,TCB
1610612747,MNL
1610610026,CLR
1610612762,NOJ
1610612764,BLT
1610612764,CHP
1610610035,HUS
1610610034,BOM
1610610025,CHS
1610610031,PIT
1610612751,NYN
1610612758,ROC
1610612764,CHZ
